platform,cluster_id,taxonomy_id,cluster_name,module,submodule,detail,business_family,business_submodule,business_detail,naming_confidence,naming_source,needs_review,score_share,evidence_mass_coverage,evidence_row_coverage,supporting_evidence,top_ngrams
android,-1,,Chưa phân loại | Journey hỗn hợp/nhiễu,Chưa phân loại,Journey hỗn hợp/nhiễu,,Chưa phân loại,Journey hỗn hợp/nhiễu,,low,noise_cluster,true,0.0,0.0,0.0,,action@ChangeNamePassWifiScreen#Home/{id}/{id}/do_action/CALL_API_GET_ACTION view@internet_fprotect_screen/management_device/management_device_screen || action@<missing>#android/Home/Header/go_to_screen/Notification view@NotificationData || action@android/NOTIFICATION/DETAIL#android/NotificationButtonDetail view@android/home/payment/prepaid || action@loylaty_promotion_view#Home/{id}/{id}/do_action/CALL_API_GET_ACTION view@internet_fprotect_screen/management_device/management_device_screen || action@android/Home#Home/do_action/MODEM_TURN_ON_OFF view@android/home/payment || action@loyalty_home_view#Home/{id}/{id}/do_action/CALL_API_GET_ACTION view@internet_fprotect_screen/management_device/management_device_screen || action@ErrorCheckingDrSmartScreen#android/Home/Header/go_to_screen/Notification view@NotificationData || action@HOME#Home/{id}/go_to_screen/REPORT_HOME
android,0,M10.01.03,Hóa đơn và thanh toán | Hóa đơn/khoản thu | Xem thông tin/tổng tiền thanh toán,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Xem thông tin/tổng tiền thanh toán,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Xem thông tin/tổng tiền thanh toán,high,validated_taxonomy_detail,false,0.7618,0.9548,0.75,action@android/home/payment#select_bill <eos> || action@android/home/payment#Home/payment/click_update_bill action@android/home/payment#android/Home/Payment/payment_QR || action@android/Home#Home/{id}/do_action/PAYMENT_HOME <eos>,action@android/Home#Home/{id}/do_action/PAYMENT_HOME <eos> || action@android/home/payment#Home/payment/delete_prepaid_bill action@android/home/payment#android/home/payment/choose_autopay || action@android/home/payment#Home/payment/click_update_bill action@android/home/payment#android/home/payment/choose_my_card || action@android/home/payment#adsview action@android/home/payment#Home/payment/click_update_bill || action@android/home/payment#Home/payment/update_prepaid_package action@android/home/payment#android/Home/Payment/payment_QR || action@android/home/payment#Home/payment/update_prepaid_package action@android/home/payment#Home/Nav_payement || action@android/home/payment#Home/payment/click_update_bill action@android/home/payment#android/Home/Payment/payment_QR || action@android/home/payment#select_bill <eos>
android,1,M05.01.03,"Internet, Wi-Fi và thiết bị mạng | Modem | Khởi động lại modem","Internet, Wi-Fi và thiết bị mạng",Modem,Khởi động lại modem,"Internet, Wi-Fi và thiết bị mạng",Modem,Khởi động lại modem,high,reviewed_literal_evidence,false,0.991,0.9791,0.375,action@android/Home#Home/do_action/MODEM_RESET view@android/home/payment || action@android/Home#Home/do_action/MODEM_RESET action@android/Home#android/Home/Header/go_to_screen/Profile || action@android/Home#Home/do_action/MODEM_RESET action@android/Home#banner,action@android/Home#Home/do_action/MODEM_RESET view@android/home/payment || action@android/Home#Home/do_action/MODEM_RESET action@android/Home#android/Home/Header/go_to_screen/Profile || internet/modem <eos> || action@<missing>#android/NotificationButtonDetail view@HOME || action@android/home/payment#Home/payment/change_prepaid_package action@android/home/payment#android/home/payment/choose_my_card || action@<missing>#Home/action_wifi_guest view@HOME || action@android/Home#Home/do_action/MODEM_RESET action@android/Home#banner || <bos> view@android/Home/payment_extend_detail
android,2,M10.01.03,Hóa đơn và thanh toán | Hóa đơn/khoản thu | Xem thông tin/tổng tiền thanh toán,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Xem thông tin/tổng tiền thanh toán,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Xem thông tin/tổng tiền thanh toán,high,validated_taxonomy_detail,false,0.9798,0.6841,0.5,action@android/Home#Home/{id}/do_action/PAYMENT_HOME view@android/home/payment || view@android/Home action@android/Home#Home/{id}/do_action/PAYMENT_HOME || action@android/home/payment#Home/payment/click_update_bill view@android/Home,action@android/home/payment#Home/payment/update_prepaid_package view@android/Home || action@android/home/payment#Home/payment/click_update_bill view@android/Home || action@android/Home#Home/{id}/do_action/PAYMENT_HOME view@android/home/payment || action@android/home/payment#select_bill view@android/Home || view@android/Home action@android/Home#Home/{id}/do_action/PAYMENT_HOME || action@<missing>#btn_back view@android/Home || <bos> view@UnConfirmEContractScreenData || view@android/home/payment view@android/Home
android,3,M05.05.09,"Internet, Wi-Fi và thiết bị mạng | Thiết bị kết nối | Chặn truy cập Internet thiết bị","Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Chặn truy cập Internet thiết bị,"Internet, Wi-Fi và thiết bị mạng",Thiết bị kết nối,Chặn truy cập Internet thiết bị,high,reviewed_literal_evidence,false,0.9668,0.9717,0.5,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/locking_internet action@<missing>#android/home/home_service_management/internet_service_tab/device_control/device_detail/confirm_block_device || action@<missing>#android/home/home_service_management/internet_service_tab/device_control/device_detail/confirm_block_device || action@<missing>#android/home/home_service_management/internet_service_tab/device_control/device_detail/confirm_block_device action@<missing>#btn_back,action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/select_bottom_sheet/history_access action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/select_bottom_sheet || action@<missing>#android/home/home_service_management/internet_service_tab/device_control/device_detail/confirm_block_device action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/select_bottom_sheet || action@<missing>#Home/do_action/MODEM_TURN_ON_OFF action@<missing>#android/home/home_service_management/internet_service_tab/wifi_control/click_device_control || action@<missing>#android/home/home_service_management/internet_service_tab/device_control/device_detail/confirm_block_device action@<missing>#btn_back || action@<missing>#internet_fprotect_screen/management_device/management_device_screen/devices_details/device_information/locking_internet action@<missing>#android/home/home_service_management/internet_service_tab/device_control/device_detail/confirm_block_device || action@<missing>#android/home/home_service_management/internet_service_tab/device_control/device_detail/confirm_block_device || action@<missing>#android/wifi_bottom_sheet_home/turn_off_wifi_2GHz action@<missing>#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || action@<missing>#android/home/support_create/support_chat
android,4,,"Thông báo, lời nhắc và truy cập nhanh | Smart Assistant lời nhắc","Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,,high,validated_taxonomy_submodule,false,0.996,0.6222,0.625,action@android/Home#sa_mascot_close action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || view@android/Home action@android/Home#sa_mascot_close || action@android/Home#sa_msg_close action@android/Home#sa_mascot_close,action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION action@android/Home#sa_mascot_close || action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION <eos> || action@android/Home#sa_mascot_close action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION action@android/Home#android/Home/Header/go_to_screen/ScanQR || view@android/Home action@android/Home#sa_mascot_close || action@android/Home#sa_msg_close action@android/Home#sa_mascot_close || action@android/Home#invite_update_cancel action@android/Home#sa_mascot_close || view@android/Home action@android/Home#sa_msg_close
android,5,,"Thông báo, lời nhắc và truy cập nhanh | Smart Assistant lời nhắc","Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,,medium,validated_taxonomy_submodule,true,0.8197,0.1913,0.125,action@android/Home#sa_short_msg action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION,action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION action@android/Home#android/Home/Home_pull_to_refresh || action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=1 <eos> || action@android/Home#sa_short_msg action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#invite_update_accept action@android/Home#android/Home/Home_pull_to_refresh || action@android/Home#sa_full_msg action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#android/Home/Home_pull_to_refresh action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION || action@android/Home#invite_update_accept action@android/Home#Home/{id}/{id}/do_action/CALL_API_GET_ACTION
android,6,M05.02.06,"Internet, Wi-Fi và thiết bị mạng | Wi-Fi chính/khách | Bật Wi-Fi","Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Bật Wi-Fi,"Internet, Wi-Fi và thiết bị mạng",Wi-Fi chính/khách,Bật Wi-Fi,medium,reviewed_literal_evidence,true,0.7007,0.0406,0.5,action@HiWebViewActivitySingleTop#Home/action_wifi_5GHz action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_5GHz || action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_2GHz action@HiWebViewActivitySingleTop#Home/do_action/MODEM_TURN_ON_OFF || action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_2GHz,action@hi.fpt.vn/dkol/product-detail#Home/action_wifi_2GHz || action@hi.fpt.vn/dkol/product-detail#btn_back action@hi.fpt.vn/dkol/product-detail#Home/action_wifi_2GHz || action@hi.fpt.vn/dkol/product-detail#Home/do_action/MODEM_TURN_ON_OFF || action@android/Home#popup <eos> || action@HiWebViewActivitySingleTop#Home/action_wifi_5GHz action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_5GHz || action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_2GHz action@HiWebViewActivitySingleTop#Home/do_action/MODEM_TURN_ON_OFF || action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_2GHz || action@HiWebViewActivitySingleTop#Home/action_wifi_2GHz action@HiWebViewActivitySingleTop#android/wifi_bottom_sheet_home/turn_on_wifi_2GHz
android,7,M15.01.01,"Thông báo, lời nhắc và truy cập nhanh | Hộp thông báo | Xem danh sách thông báo","Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Xem danh sách thông báo,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Xem danh sách thông báo,high,reviewed_literal_evidence,false,1.0,0.9652,0.125,action@android/home/notification#btn_back view@HOME,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=4#btn_back action@hi.fpt.vn/web/shop/product-management-v920?cat_id=4#web/Header/BackButton || action@hi.fpt.vn/web/shop/product-management-v920?cat_id=4#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/loyalty-webview/hifpt/voucher/detail || action@hi.fpt.vn/web/shop/product-management-v920?cat_id=4#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/loyalty-webview/hifpt/voucher/detail view@HiWebViewActivitySingleTop || action@android/PAYMENT/LISTAUTOPAY#select_new_method view@android/Home/Payment/payment_history || view@hi.fpt.vn/web/shop/home view@hi.fpt.vn/web/shop/product-management-v920?cat_id=6 || action@android/home/notification#btn_back view@HOME || view@hi.fpt.vn/web/shop/product-management-v920?cat_id=6 action@hi.fpt.vn/web/shop/product-management-v920?cat_id=6#web/Header/BackButton || action@hi.fpt.vn/web/shop/product-management-v920?cat_id=6#web/Header/BackButton action@hi.fpt.vn/web/shop/product-management-v920?cat_id=6#btn_back
android,8,M10.01.03,Hóa đơn và thanh toán | Hóa đơn/khoản thu | Xem thông tin/tổng tiền thanh toán,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Xem thông tin/tổng tiền thanh toán,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Xem thông tin/tổng tiền thanh toán,high,validated_taxonomy_detail,false,1.0,0.4374,0.375,action@android/home/payment#Home/payment/select_bill/block_prepay action@android/home/payment#android/home/payment/choose_autopay || action@android/PAYMENT/LISTAUTOPAY#manage_autopay/bill_date view@android/home/payment || action@android/PAYMENT/LISTAUTOPAY#select_new_method action@android/PAYMENT/LISTAUTOPAY#manage_autopay/bill_date,action@android/PAYMENT/LISTAUTOPAY#manage_autopay/bill_date view@android/home/payment || action@android/home/payment#Home/payment/select_bill/block_prepay action@android/home/payment#android/home/payment/choose_autopay || action@android/Home#android/Home/Click_call_event_tracking view@android/home/payment || action@android/PAYMENT/LISTAUTOPAY#select_new_method action@android/PAYMENT/LISTAUTOPAY#manage_autopay/bill_date || action@android/Home/Payment/Notification_channel/Registration_history#btn_back view@android/Home/Payment/Notification_channel || action@android/Home#sa_short_msg view@android/home/payment || view@android/Home/Payment/Notification_channel action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Registration_history || action@android/Home/Payment/Notification_channel#android/Home/Payment/Setting/Notification_channel/Registration_history view@android/Home/Payment/Notification_channel/Registration_history
