taxonomy_id,business_family,business_submodule,business_detail
M01.01.01,Truy cập và tài khoản,Đăng nhập,Đăng nhập FPT ID
M01.01.02,Truy cập và tài khoản,Đăng nhập,Đăng nhập bằng OTP
M01.01.03,Truy cập và tài khoản,Đăng nhập,Gửi lại OTP đăng nhập
M01.01.04,Truy cập và tài khoản,Đăng nhập,Đăng nhập bằng PIN
M01.01.05,Truy cập và tài khoản,Đăng nhập,Đăng nhập bằng sinh trắc học
M01.01.06,Truy cập và tài khoản,Đăng nhập,Đổi tài khoản đăng nhập
M01.01.07,Truy cập và tài khoản,Đăng nhập,Chuyển sang OTP khi đăng nhập FPT ID lỗi
M01.01.08,Truy cập và tài khoản,Đăng nhập,Mở đăng ký tài khoản mới
M01.02.01,Truy cập và tài khoản,Đăng nhập VNeID,Đăng nhập SSO VNeID
M01.02.02,Truy cập và tài khoản,Đăng nhập VNeID,Xác nhận liên kết số điện thoại với CCCD
M01.02.03,Truy cập và tài khoản,Đăng nhập VNeID,Xử lý/gỡ liên kết số điện thoại–CCCD bị xung đột
M01.03.01,Truy cập và tài khoản,Bảo mật tài khoản,Thiết lập PIN lần đầu
M01.03.02,Truy cập và tài khoản,Bảo mật tài khoản,Đổi PIN
M01.03.03,Truy cập và tài khoản,Bảo mật tài khoản,Khôi phục PIN khi quên
M01.03.04,Truy cập và tài khoản,Bảo mật tài khoản,Thiết lập lưu phiên đăng nhập
M01.03.05,Truy cập và tài khoản,Bảo mật tài khoản,Đăng xuất
M01.04.01,Truy cập và tài khoản,Thông tin cá nhân,Xem thông tin tài khoản
M01.04.02,Truy cập và tài khoản,Thông tin cá nhân,Cập nhật họ tên
M01.04.03,Truy cập và tài khoản,Thông tin cá nhân,Cập nhật ngày sinh
M01.04.04,Truy cập và tài khoản,Thông tin cá nhân,Cập nhật danh xưng
M01.04.05,Truy cập và tài khoản,Thông tin cá nhân,Đổi ảnh đại diện
M01.05.01,Truy cập và tài khoản,Cài đặt và thông tin ứng dụng,Đổi ngôn ngữ Việt/Anh
M01.05.02,Truy cập và tài khoản,Cài đặt và thông tin ứng dụng,Xem điều khoản và chính sách bảo mật
M01.05.03,Truy cập và tài khoản,Cài đặt và thông tin ứng dụng,Xem giới thiệu Hi FPT
M01.05.04,Truy cập và tài khoản,Cài đặt và thông tin ứng dụng,Khai báo Bạn biết Hi FPT từ đâu
M02.01.01,Trang chủ và khám phá,Trang chủ,Xem tổng quan dịch vụ trên Home
M02.01.02,Trang chủ và khám phá,Trang chủ,Khám phá banner/ưu đãi trên Home
